Record ID,Entered name,Entered name author,Current name,Current name author,Current name TVK,Common name,Species notes,Site notes,Locality,Vice county,Country,Grid ref.,Lon,Lat,Altitude,Date,Date Start,Date End,Substrate,Substrate Qualifier,Other Substrate,FRDBI no,Literature,Other Literature,Source,Morph,NCC Ecosystem,Associations,VCname (Ent),VCnum (Ent),County,Certainty,Abundance,Licence,Start Year,End Year
27681150,Suillus grevillei,(Klotzsch) Singer,Suillus grevillei,(Klotzsch) Singer,NHMSYS0001499278,Larch Bolete,,,Rogie Falls,East Ross,Scotland,NH444585,-4.604,57.59,60,9/8/2022,9/8/2022,9/8/2022,soil,,,,,,,,A122 Coniferous plantation,Larch (Larix),"Ross, East",106,Highlands and Islands,Certain,,CC0,2022,2022
28881365,Suillus variegatus,(Sw.) Richon & Roze,Suillus variegatus,(Sw.) Richon & Roze,NHMSYS0001499287,Velvet Bolete,,,Gors Maen Llwyd NR,Denbighshire,Wales,SH985583,-3.517,53.113,400,20/9/2022,20/9/2022,20/9/2022,soil,,,,"British Boletes, with keys to species, Kibby, G, 2011",,,,A132 Mixed plantation,Scots Pine (Pinus sylvestris),Denbighshire,50,Clwyd,Certain,,CC0,2022,2022
28902207,Suillus grevillei,(Klotzsch) Singer,Suillus grevillei,(Klotzsch) Singer,NHMSYS0001499278,Larch Bolete,,,Cragside NT,North Northumberland,England,NU079020,-1.876,55.312,180,1/10/2022,1/10/2022,1/10/2022,soil,,,,,,,,A131 Mixed semi-natural,Larch (Larix),"Northumberland, North (Cheviot)",68,Northumberland,Certain,,CC0,2022,2022
23372368,Suillus grevillei,(Klotzsch) Singer,Suillus grevillei,(Klotzsch) Singer,NHMSYS0001499278,Larch Bolete,,,Seatoller,Cumberland,England,NY24161413,-3.173,54.517,,13/9/2021,13/9/2021,13/9/2021,soil,,,,"Collins Complete British Mushrooms and Toadstools: The essential photograph guide to Britain's fungi, Sterry, P.; Hughes, B., 2009",,,,,Larch (Larix),Cumberland,,,Certain,,CC0,2021,2021
23372389,Suillus luteus,(L.) Roussel,Suillus luteus,(L.) Roussel,NHMSYS0001499284,Slippery Jack,,,Ennerdale Water,Cumberland,England,NY11431413,-3.37,54.515,,13/9/2021,13/9/2021,13/9/2021,soil,,,,"Collins Complete British Mushrooms and Toadstools: The essential photograph guide to Britain's fungi, Sterry, P.; Hughes, B., 2009",,,,,Birch (Betula),Cumberland,,,Certain,,CC0,2021,2021
33602153,Suillus grevillei,(Klotzsch) Singer,Suillus grevillei,(Klotzsch) Singer,NHMSYS0001499278,Larch Bolete,,,"King's Wood, Challock",East Kent,England,TR031505,0.908,51.218,,21/10/2023,21/10/2023,21/10/2023,,,,,,,,,,,,,,Certain,,CC0,2023,2023
33940729,Suillus luteus,(L.) Roussel,Suillus luteus,(L.) Roussel,NHMSYS0001499284,Slippery Jack,,,Sandwich Bay,East Kent,England,TR35065962,1.37,51.287,5,25/11/2023,25/11/2023,25/11/2023,,,,,,,,,,Pine (Pinus),"Kent, East",,,Certain,2,CC0,2023,2023
17974009,Suillus variegatus,(Sw.) Richon & Roze,Suillus variegatus,(Sw.) Richon & Roze,NHMSYS0001499287,Velvet Bolete,,,"Glen Doll Forest, Glen Clova, Angus",Angus,Scotland,NO2675,-3.207,56.865,,14/9/2020,14/9/2020,14/9/2020,,,,,"Mushroom and Toadstools of Britain & Europe, Kibby, G., 2017-21 Vol 1-3",,,,,Pine (Pinus),Fifeshire (with Kinross),,,Likely,,CC0,2020,2020
24315548,Suillus luteus,(L.) Roussel,Suillus luteus,(L.) Roussel,NHMSYS0001499284,Slippery Jack,,,Bishopbriggs: Cadder: Cadder Way,Lanarkshire,Scotland,NS61767206,-4.214,55.922,60,12/10/2021,12/10/2021,12/10/2021,soil,,,,,,,,A Woodland & Scrub,Scots Pine (Pinus sylvestris),Lanarkshire,77,Strathclyde,Certain,,CC BY,2021,2021
32359577,Suillus luteus,(L.) Roussel,Suillus luteus,(L.) Roussel,NHMSYS0001499284,Slippery Jack,,,Paisley: Gleniffer Braes,Renfrewshire,Scotland,NS45156039,-4.473,55.812,203,7/8/2023,7/8/2023,7/8/2023,soil,,,,,,,,A122 Coniferous plantation,Scots Pine (Pinus sylvestris),Renfrewshire,76,Strathclyde,Certain,,CC BY,2023,2023
15008002,Suillus grevillei,(Klotzsch) Singer,Suillus grevillei,(Klotzsch) Singer,NHMSYS0001499278,Larch Bolete,Single fruitbody growing in mortar bond 2m up on wall of disused 2nd World War brick-built air raid shelter. Larch sapling growing from similar situation close to this.,Site had formerly been planted with Larch which have been felled (c10 years ago) prior to site redevelopment.  ,Bishopton: Dargavel: Dargavel House,Renfrewshire,Scotland,NS42407028,-4.522,55.9,,8/7/2020,8/7/2020,8/7/2020,concrete,,brick,,,,,,J36 Buildings,Larch (Larix),Renfrewshire,76,Strathclyde,Certain,Single fruitbody,CC BY,2020,2020
26196165,Suillus grevillei,(Klotzsch) Singer,Suillus grevillei,(Klotzsch) Singer,NHMSYS0001499278,Larch Bolete,,,Bishopton: Dargavel: Dargavel House,Renfrewshire,Scotland,NS42637018,-4.518,55.899,15,30/6/2022,30/6/2022,30/6/2022,soil,,,,,,,,A132 Mixed plantation,Larch (Larix),Renfrewshire,76,Strathclyde,Certain,,CC BY,2022,2022
28242629,Suillus grevillei,(Klotzsch) Singer,Suillus grevillei,(Klotzsch) Singer,NHMSYS0001499278,Larch Bolete,,,Bishopton: Dargavel: Dargavel House,Renfrewshire,Scotland,NS43796941,-4.499,55.892,14,29/9/2022,29/9/2022,29/9/2022,soil,,,,,,,,A112 Broad-leaved Plantation,Larch (Larix),Renfrewshire,76,Strathclyde,Certain,,CC BY,2022,2022
25757024,Suillus grevillei,(Klotzsch) Singer,Suillus grevillei,(Klotzsch) Singer,NHMSYS0001499278,Larch Bolete,,,New Forest: Sims Wood,South Hampshire,England,SU4101,-1.412,50.812,,18/9/2011,18/9/2011,18/9/2011,soil,,,,,,,,A111 Broad-leaved semi-natural,Larch (Larix),"Hampshire, South",11,,Certain,,CC BY,2011,2011
28417656,Suillus bovinus,(L.) Roussel,Suillus bovinus,(L.) Roussel,NHMSYS0001499269,Bovine Bolete,,,Cragside NT,North Northumberland,England,NU07270213,-1.887,55.313,,1/10/2022,1/10/2022,1/10/2022,soil,,,,,,,,A13 Mixed woodland,Pine (Pinus),"Northumberland, North (Cheviot)",68,Northumberland,Certain,,CC BY,2022,2022
28417749,Suillus flavidus,(Fr.) J. Presl,Suillus flavidus,(Fr.) J. Presl,NHMSYS0001499275,Jellied Bolete,Bright yellow flesh unchanging when cut all way down stipe. Spores small: 7.30 - 8.87 x 2.73 - 3.69 µm,,Cragside NT,North Northumberland,England,NU07590247,-1.882,55.316,,1/10/2022,1/10/2022,1/10/2022,soil,,,,,,,,A13 Mixed woodland,Pine (Pinus),"Northumberland, North (Cheviot)",68,Northumberland,Certain,,CC BY,2022,2022
18432330,Suillus grevillei,(Klotzsch) Singer,Suillus grevillei,(Klotzsch) Singer,NHMSYS0001499278,Larch Bolete,,,Crawfordsburn Country Park: The Glen,Down,Northern Ireland,J465816,-5.73,54.662,,27/9/1997,27/9/1997,27/9/1997,,,,,,,,,,,,H38,,,,CC BY,1997,1997
18447705,Suillus grevillei,(Klotzsch) Singer,Suillus grevillei,(Klotzsch) Singer,NHMSYS0001499278,Larch Bolete,,,Belvoir Park Forest,Down,Northern Ireland,J334693,-5.938,54.555,,24/7/1995,24/7/1995,24/7/1995,soil,,,,,,,,A132 Mixed plantation,Larch (Larix),,H38,,,,CC BY,1995,1995
18448602,Suillus grevillei,(Klotzsch) Singer,Suillus grevillei,(Klotzsch) Singer,NHMSYS0001499278,Larch Bolete,,,"Derrynoyd Td., 1.5km NW of Draperstown",Londonderry,Northern Ireland,H77169527,-6.801,54.799,,27/7/1997,27/7/1997,27/7/1997,soil,,Soil grassy,,,,,,A132 Mixed plantation,Oak (Quercus),,H40,,,,CC BY,1997,1997
20466641,Suillus grevillei,(Klotzsch) Singer,Suillus grevillei,(Klotzsch) Singer,NHMSYS0001499278,Larch Bolete,,,Downhill Forest,Londonderry,Northern Ireland,C76013522,-6.808,55.158,,28/6/2020,28/6/2020,28/6/2020,soil,,litter,,,,,,A131 Mixed semi-natural,Larch (Larix),,H40,,,,CC BY,2020,2020
21877073,Suillus variegatus,(Sw.) Richon & Roze,Suillus variegatus,(Sw.) Richon & Roze,NHMSYS0001499287,Velvet Bolete,,,Ardessie: Allt Airdeasaidh,West Ross,Scotland,NH05048918,-5.287,57.85,149,3/9/2021,3/9/2021,3/9/2021,soil,,,,,,,,A111 Broad-leaved semi-natural,Scots Pine (Pinus sylvestris),,105,,,,CC BY,2021,2021
21877075,Suillus bovinus,(L.) Roussel,Suillus bovinus,(L.) Roussel,NHMSYS0001499269,Bovine Bolete,,,Ardessie: Allt Airdeasaidh,West Ross,Scotland,NH05048918,-5.287,57.85,150,3/9/2021,3/9/2021,3/9/2021,soil,,,,,,,,A111 Broad-leaved semi-natural,Scots Pine (Pinus sylvestris),,105,,,,CC BY,2021,2021
21877357,Suillus luteus,(L.) Roussel,Suillus luteus,(L.) Roussel,NHMSYS0001499284,Slippery Jack,,,Glen Calvie,East Ross,Scotland,NH46398900,-4.591,57.864,124,1/9/2021,1/9/2021,1/9/2021,soil,,,,,,,,A131 Mixed semi-natural,Scots Pine (Pinus sylvestris),,106,,,,CC BY,2021,2021
21877454,Suillus luteus,(L.) Roussel,Suillus luteus,(L.) Roussel,NHMSYS0001499284,Slippery Jack,,,Glen Glass,East Ross,Scotland,NH53497010,-4.46,57.697,234,19/8/2021,19/8/2021,19/8/2021,soil,,,,,,,,A12 Coniferous woodland,Scots Pine (Pinus sylvestris),,106,,,,CC BY,2021,2021
21877748,Suillus bovinus,(L.) Roussel,Suillus bovinus,(L.) Roussel,NHMSYS0001499269,Bovine Bolete,,,Rosehaugh Estate,East Ross,Scotland,NH67515612,-4.217,57.576,90,4/9/2021,4/9/2021,4/9/2021,soil,,,,,,,,A13 Mixed woodland,Scots Pine (Pinus sylvestris),,106,,,,CC BY,2021,2021
21877859,Suillus variegatus,(Sw.) Richon & Roze,Suillus variegatus,(Sw.) Richon & Roze,NHMSYS0001499287,Velvet Bolete,,,Strathpeffer: Blackmuir Wood,East Ross,Scotland,NH47965733,-4.544,57.58,111,29/8/2021,29/8/2021,29/8/2021,soil,,,,,,,,A13 Mixed woodland,Sitka Spruce (Picea sitchensis),,106,,,,CC BY,2021,2021
21877925,Suillus variegatus,(Sw.) Richon & Roze,Suillus variegatus,(Sw.) Richon & Roze,NHMSYS0001499287,Velvet Bolete,,,Torr Wood,East Inverness-shire,Scotland,NH59173530,-4.344,57.386,34,25/8/2021,25/8/2021,25/8/2021,soil,,,,,,,,A13 Mixed woodland,Scots Pine (Pinus sylvestris),,96,,,,CC BY,2021,2021
21877958,Suillus grevillei,(Klotzsch) Singer,Suillus grevillei,(Klotzsch) Singer,NHMSYS0001499278,Larch Bolete,,,Torr Wood,East Inverness-shire,Scotland,NH59983478,-4.331,57.382,29,25/8/2021,25/8/2021,25/8/2021,soil,,,,,,,,A13 Mixed woodland,European Larch (Larix decidua),,96,,,,CC BY,2021,2021
33109743,Suillus cavipes,(Klotzsch) A.H. Sm. & Thiers,Suillus cavipes,(Klotzsch) A.H. Sm. & Thiers,NHMSYS0001499272,Hollow Bolete,,,Torridon: Coire MhicNobaill,West Ross,Scotland,NG87175798,-5.56,57.562,90,5/9/2023,5/9/2023,5/9/2023,soil,,,,,,,,A121 Coniferous semi-natural,Scots Pine (Pinus sylvestris),,105,,,,CC BY,2023,2023
23665587,Suillus luteus,(L.) Roussel,Suillus luteus,(L.) Roussel,NHMSYS0001499284,Slippery Jack,,,Black Isle: Millbuie,East Ross,Scotland,NH64215925,-4.274,57.603,216,4/10/2021,4/10/2021,4/10/2021,soil,,,,,,,,A122 Coniferous plantation,Scots Pine (Pinus sylvestris),,106,,,,CC BY,2021,2021
23665595,Suillus variegatus,(Sw.) Richon & Roze,Suillus variegatus,(Sw.) Richon & Roze,NHMSYS0001499287,Velvet Bolete,,,Black Isle: Millbuie,East Ross,Scotland,NH64425864,-4.27,57.597,203,4/10/2021,4/10/2021,4/10/2021,soil,,,,,,,,A122 Coniferous plantation,Scots Pine (Pinus sylvestris),,106,,,,CC BY,2021,2021
23665733,Suillus bovinus,(L.) Roussel,Suillus bovinus,(L.) Roussel,NHMSYS0001499269,Bovine Bolete,,,Cnoc Fyrish,East Ross,Scotland,NH61967034,-4.318,57.702,311,15/11/2021,15/11/2021,15/11/2021,soil,,,,,,,,A122 Coniferous plantation,Scots Pine (Pinus sylvestris),,106,,,,CC BY,2021,2021
23665887,Suillus cavipes,(Klotzsch) A.H. Sm. & Thiers,Suillus cavipes,(Klotzsch) A.H. Sm. & Thiers,NHMSYS0001499272,Hollow Bolete,,,Fortrose: Deer Park,East Ross,Scotland,NH70205677,-4.172,57.582,130,9/10/2021,9/10/2021,9/10/2021,soil,,,,,,,,A13 Mixed woodland,European Larch (Larix decidua),,106,,,,CC BY,2021,2021
23666509,Suillus bovinus,(L.) Roussel,Suillus bovinus,(L.) Roussel,NHMSYS0001499269,Bovine Bolete,,,Spital Wood,East Ross,Scotland,NH56285111,-4.402,57.527,106,23/10/2021,23/10/2021,23/10/2021,soil,,,,,,,,A122 Coniferous plantation,Scots Pine (Pinus sylvestris),,106,,,,CC BY,2021,2021
21877191,Suillus flavidus,(Fr.) J. Presl,Suillus flavidus,(Fr.) J. Presl,NHMSYS0001499275,Jellied Bolete,,,Carn Chuinneag,East Ross,Scotland,NH47038275,-4.576,57.808,676,1/9/2021,1/9/2021,1/9/2021,soil,,,,,,,,D4 Montane heath,Bearberry (Arctostaphylos uva-ursi),,106,,,,CC BY,2021,2021
17698961,Suillus luteus,(L.) Roussel,Suillus luteus,(L.) Roussel,NHMSYS0001499284,Slippery Jack,,,Strathconon: Cranich Plantation,East Ross,Scotland,NH29625323,-4.848,57.537,,1/8/2020,1/8/2020,1/8/2020,soil,,Soil grassy,,,,,,,Scots Pine (Pinus sylvestris),,106,,,,CC BY,2020,2020
17699063,Suillus grevillei,(Klotzsch) Singer,Suillus grevillei,(Klotzsch) Singer,NHMSYS0001499278,Larch Bolete,,,Ruttle Wood,East Inverness-shire,Scotland,NH47524224,-4.542,57.445,,18/7/2020,18/7/2020,18/7/2020,soil,,,,,,,,,European Larch (Larix decidua),,96,,,,CC BY,2020,2020
17699397,Suillus luteus,(L.) Roussel,Suillus luteus,(L.) Roussel,NHMSYS0001499284,Slippery Jack,,,Culloden Wood,East Inverness-shire,Scotland,NH75544591,-4.078,57.486,,26/7/2020,26/7/2020,26/7/2020,soil,,,,,,,,,Scots Pine (Pinus sylvestris),,96,,,,CC BY,2020,2020
17699405,Suillus variegatus,(Sw.) Richon & Roze,Suillus variegatus,(Sw.) Richon & Roze,NHMSYS0001499287,Velvet Bolete,,,Culloden Wood,East Inverness-shire,Scotland,NH76014604,-4.07,57.488,,26/7/2020,26/7/2020,26/7/2020,soil,,,,,,,,,Sitka Spruce (Picea sitchensis),,96,,,,CC BY,2020,2020
17699481,Suillus luteus,(L.) Roussel,Suillus luteus,(L.) Roussel,NHMSYS0001499284,Slippery Jack,,,Cawdor Wood,East Inverness-shire,Scotland,NH85304869,-3.916,57.514,,27/6/2020,27/6/2020,27/6/2020,soil,,Soil grassy,,,,,,,Scots Pine (Pinus sylvestris),,96,,,,CC BY,2020,2020
17700913,Suillus luteus,(L.) Roussel,Suillus luteus,(L.) Roussel,NHMSYS0001499284,Slippery Jack,,,Monmouthshire & Brecon Canal: Brecon to Pencelli,Breconshire,Wales,SO07722740,-3.344,51.937,,4/11/2018,4/11/2018,4/11/2018,,,,,,,,,,Scots Pine (Pinus sylvestris),,42,,,,CC BY,2018,2018
17715465,Suillus grevillei,(Klotzsch) Singer,Suillus grevillei,(Klotzsch) Singer,NHMSYS0001499278,Larch Bolete,,,Trassey Track,Down,Northern Ireland,J31013078,-5.993,54.209,,16/9/2018,16/9/2018,16/9/2018,,,,,,,,,,European Larch (Larix decidua),,H38,,,,CC BY,2018,2018
17890959,Suillus variegatus,(Sw.) Richon & Roze,Suillus variegatus,(Sw.) Richon & Roze,NHMSYS0001499287,Velvet Bolete,,,Clava Wood,East Inverness-shire,Scotland,NH77354344,-4.046,57.465,309,20/9/2020,20/9/2020,20/9/2020,soil,,,,,,,,A122 Coniferous plantation,Scots Pine (Pinus sylvestris),,96,,,,CC BY,2020,2020
17891128,Suillus luteus,(L.) Roussel,Suillus luteus,(L.) Roussel,NHMSYS0001499284,Slippery Jack,,,Culbin Forest (Moray),Moray,Scotland,NH99426166,-3.686,57.634,61.999,19/9/2020,19/9/2020,19/9/2020,soil,,,,,,,,A122 Coniferous plantation,Scots Pine (Pinus sylvestris),,95,,,,CC BY,2020,2020
17891134,Suillus flavidus,(Fr.) J. Presl,Suillus flavidus,(Fr.) J. Presl,NHMSYS0001499275,Jellied Bolete,,,Culbin Forest (Moray),Moray,Scotland,NH99546153,-3.684,57.633,52,19/9/2020,19/9/2020,19/9/2020,soil,,,,,,,,A122 Coniferous plantation,Scots Pine (Pinus sylvestris),,95,,,,CC BY,2020,2020
30059904,Suillus variegatus,(Sw.) Richon & Roze,Suillus variegatus,(Sw.) Richon & Roze,NHMSYS0001499287,Velvet Bolete,,,Alladale Wilderness Reserve: An Sgothach,East Ross,Scotland,NH38758795,-4.719,57.852,332,21/9/2022,21/9/2022,21/9/2022,soil,,,,,,,,A121 Coniferous semi-natural,Scots Pine (Pinus sylvestris),,106,,,,CC BY,2022,2022
30060601,Suillus bovinus,(L.) Roussel,Suillus bovinus,(L.) Roussel,NHMSYS0001499269,Bovine Bolete,,,Loch Vaich,East Ross,Scotland,NH34997728,-4.775,57.755,300,27/8/2022,27/8/2022,27/8/2022,soil,,,,,,,,A122 Coniferous plantation,Scots Pine (Pinus sylvestris),,106,,,,CC BY,2022,2022
30061171,Suillus flavidus,(Fr.) J. Presl,Suillus flavidus,(Fr.) J. Presl,NHMSYS0001499275,Jellied Bolete,,,Culbin Forest: Low Wood,Moray,Scotland,NH97466082,-3.719,57.626,14,5/10/2022,5/10/2022,5/10/2022,soil,,,,,,,,A122 Coniferous plantation,Scots Pine (Pinus sylvestris),,95,,,,CC BY,2022,2022
30065526,Suillus bovinus,(L.) Roussel,Suillus bovinus,(L.) Roussel,NHMSYS0001499269,Bovine Bolete,,,Drumkeeragh Forest,Down,Northern Ireland,J3346,-5.948,54.35,,28/9/2022,28/9/2022,28/9/2022,,,,,,,,,,,,H38,,,,CC BY,2022,2022
18440346,Suillus bovinus,(L.) Roussel,Suillus bovinus,(L.) Roussel,NHMSYS0001499269,Bovine Bolete,,,"Silent Valley, Mourne Mountains",Down,Northern Ireland,J30792073,-6,54.119,,13/11/1996,13/11/1996,13/11/1996,soil,,needle,,,,,,A122 Coniferous plantation,,,H38,,,,CC BY,1996,1996
18444476,Suillus granulatus,(L.) Roussel,Suillus granulatus,(L.) Roussel,NHMSYS0001499277,Weeping Bolete,,,"Inish Rath Island, Upper Lough Erne",Fermanagh,Northern Ireland,H337272,-7.484,54.193,,18/10/2003,18/10/2003,18/10/2003,,,,,,,,,A111 Broad-leaved semi-natural,,,H33,,,,CC BY,2003,2003
18444947,Suillus grevillei,(Klotzsch) Singer,Suillus grevillei,(Klotzsch) Singer,NHMSYS0001499278,Larch Bolete,,,Loughgall Manor,Armagh,Northern Ireland,H909510,-6.6,54.4,,20/9/2003,20/9/2003,20/9/2003,,,,,,,,,A13 Mixed woodland,,,H37,,,,CC BY,2003,2003
18447715,Suillus grevillei,(Klotzsch) Singer,Suillus grevillei,(Klotzsch) Singer,NHMSYS0001499278,Larch Bolete,,,Belvoir Park Forest,Down,Northern Ireland,J334693,-5.938,54.555,,23/10/1995,23/10/1995,23/10/1995,soil,,,,,,,,A132 Mixed plantation,Larch (Larix),,H38,,,,CC BY,1995,1995
18447741,Suillus grevillei,(Klotzsch) Singer,Suillus grevillei,(Klotzsch) Singer,NHMSYS0001499278,Larch Bolete,,,Binevenagh NNR,Londonderry,Northern Ireland,C68183043,-6.932,55.116,,7/8/1998,7/8/1998,7/8/1998,soil,,needle,,,,,,A122 Coniferous plantation,Larch (Larix),,H40,,,,CC BY,1998,1998
18447743,Suillus grevillei,(Klotzsch) Singer,Suillus grevillei,(Klotzsch) Singer,NHMSYS0001499278,Larch Bolete,,,Binevenagh NNR,Londonderry,Northern Ireland,C68382999,-6.929,55.112,,7/8/1998,7/8/1998,7/8/1998,soil,,needle,,,,,,A122 Coniferous plantation,Larch (Larix),,H40,,,,CC BY,1998,1998
18447823,Suillus grevillei,(Klotzsch) Singer,Suillus grevillei,(Klotzsch) Singer,NHMSYS0001499278,Larch Bolete,,J2-5 Other artificial habitats,Castlewellan Forest Park,Down,Northern Ireland,J3237,-5.967,54.269,,5/10/1995,5/10/1995,5/10/1995,soil,,,,,,,,J2 Boundaries,Larch (Larix),,H38,,,,CC BY,1995,1995
18448368,Suillus grevillei,(Klotzsch) Singer,Suillus grevillei,(Klotzsch) Singer,NHMSYS0001499278,Larch Bolete,,,"Silent Valley, Mourne Mountains",Down,Northern Ireland,J306214,-6.002,54.126,,14/10/1995,14/10/1995,14/10/1995,soil,,,,,,,,,Larch (Larix),,H38,,,,CC BY,1995,1995
18448380,Suillus grevillei,(Klotzsch) Singer,Suillus grevillei,(Klotzsch) Singer,NHMSYS0001499278,Larch Bolete,,,"Silent Valley, Mourne Mountains",Down,Northern Ireland,J30532142,-6.004,54.125,,1/8/1998,1/8/1998,1/8/1998,soil,,,,,,,,A122 Coniferous plantation,Larch (Larix),,H38,,,,CC BY,1998,1998
18449375,Boletus bovinus,L.,Suillus bovinus,(L.) Roussel,NHMSYS0001499269,Bovine Bolete,,,Achill Island,West Mayo,Eire,F60,-10.058,53.977,,01/01/1910 to 31/12/1910,1/1/1910,31/12/1910,,,,,,,,,,,,H27,,,,CC BY,1910,1910
18450380,Boletus bovinus,L.,Suillus bovinus,(L.) Roussel,NHMSYS0001499269,Bovine Bolete,,,Knockranny Wood,West Mayo,Eire,M0084,-9.511,53.801,,01/01/1910 to 31/12/1910,1/1/1910,31/12/1910,,,,,,,,,,,,H27,,,,CC BY,1910,1910
18452075,Suillus luteus,(L.) Roussel,Suillus luteus,(L.) Roussel,NHMSYS0001499284,Slippery Jack,,,Maynooth,Kildare,Eire,N941367,-6.586,53.373,,5/10/2010,5/10/2010,5/10/2010,soil,,Soil grassy,,,,,,,Scots Pine (Pinus sylvestris),,H19,,,,CC BY,2010,2010
18452876,Suillus grevillei,(Klotzsch) Singer,Suillus grevillei,(Klotzsch) Singer,NHMSYS0001499278,Larch Bolete,,,Glenariff Forest Park,Antrim,Northern Ireland,D21062047,-6.108,55.017,,13/9/2003,13/9/2003,13/9/2003,,,,,,,,,A122 Coniferous plantation,European Larch (Larix decidua),,H39,,,,CC BY,2003,2003
